pair_id,n_pairs,c_type,v_type,grammatical,ungrammatical,ungram_source,alignment,embed,NP1,NP1_anim,NP1_number,NP1_type,NP2,NP2_anim,NP2_number,NP2_type,V1,V1_lemma,V1_class,V1_tense,V2,V2_lemma,V2_class,v2_object,crit_tokens,source,notes,full_paradigm,bigram_confound,sentence_length_grammatical,n_tokens_grammatical,n_tokens_ungrammatical,crit_token_positions,grammatical_logprob,ungrammatical_logprob,logprob_diff,V2_surface,NP3,NP3_anim,NP3_number,NP3_type,V3,V3_surface,V3_class,NP4,NP4_anim,NP4_number,NP4_type,V3_lemma,V4,V4_lemma,V4_class,V4_surface
2np_t1_013_A,2,1,A,Ik denk dat Piet de bus ziet vertrekken.,Ik denk dat Piet de bus vertrekken ziet.,verb_order,False,Ik denk dat,Piet,animate,sg,proper,de bus,inanimate,sg,common,ziet,zien,perception,present,vertrekken,,change_of_state,,"[""ziet"", ""vertrekken""]",generated,,True,,8,,,,,,,vertrekken,,,,,,,,,,,,,,,,
2np_t1_013_B,2,1,B,Ik denk dat Piet de bus ziet vertrekken.,Ik denk dat de bus Piet ziet vertrekken.,selectional_restriction,False,Ik denk dat,Piet,animate,sg,proper,de bus,inanimate,sg,common,ziet,zien,perception,present,vertrekken,,change_of_state,,"[""Piet"", ""de bus""]",generated,,True,,8,,,,,,,vertrekken,,,,,,,,,,,,,,,,
2np_t1_013_C,2,1,C,Ik denk dat Piet de bus ziet vertrekken.,Ik denk dat de bus Piet vertrekken ziet.,selectional_restriction,True,Ik denk dat,Piet,animate,sg,proper,de bus,inanimate,sg,common,ziet,zien,perception,present,vertrekken,,change_of_state,,"[""Piet"", ""de bus"", ""ziet"", ""vertrekken""]",generated,,True,,8,,,,,,,vertrekken,,,,,,,,,,,,,,,,
2np_t1_014_A,2,1,A,Ze weten dat Jan de bus hoort bewegen.,Ze weten dat Jan de bus bewegen hoort.,verb_order,False,Ze weten dat,Jan,animate,sg,proper,de bus,inanimate,sg,common,hoort,horen,perception,present,bewegen,,motion,,"[""hoort"", ""bewegen""]",generated,"Manual revision note: semantically strange, but acceptable; horen bewegen",True,,8,,,,,,,bewegen,,,,,,,,,,,,,,,,
2np_t1_014_B,2,1,B,Ze weten dat Jan de bus hoort bewegen.,Ze weten dat de bus Jan hoort bewegen.,selectional_restriction,False,Ze weten dat,Jan,animate,sg,proper,de bus,inanimate,sg,common,hoort,horen,perception,present,bewegen,,motion,,"[""Jan"", ""de bus""]",generated,"Manual revision note: semantically strange, but acceptable; horen bewegen",True,,8,,,,,,,bewegen,,,,,,,,,,,,,,,,
2np_t1_014_C,2,1,C,Ze weten dat Jan de bus hoort bewegen.,Ze weten dat de bus Jan bewegen hoort.,selectional_restriction,True,Ze weten dat,Jan,animate,sg,proper,de bus,inanimate,sg,common,hoort,horen,perception,present,bewegen,,motion,,"[""Jan"", ""de bus"", ""hoort"", ""bewegen""]",generated,"Manual revision note: semantically strange, but acceptable; horen bewegen",True,,8,,,,,,,bewegen,,,,,,,,,,,,,,,,
2np_t1_015_A,2,1,A,Ik merk dat de vrienden Jan zien dansen.,Ik merk dat de vrienden Jan dansen zien.,verb_order,False,Ik merk dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,dansen,,activity,,"[""zien"", ""dansen""]",generated,,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_015_B,2,1,B,Ik merk dat de vrienden Jan zien dansen.,Ik merk dat Jan de vrienden zien dansen.,agreement_violation,False,Ik merk dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,dansen,,activity,,"[""de vrienden"", ""Jan""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_015_C,2,1,C,Ik merk dat de vrienden Jan zien dansen.,Ik merk dat Jan de vrienden dansen zien.,agreement_violation,True,Ik merk dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,dansen,,activity,,"[""de vrienden"", ""Jan"", ""zien"", ""dansen""]",generated,,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_016_A,2,1,A,Ze zegt dat de danser Jan ziet spelen.,Ze zegt dat de danser Jan spelen ziet.,verb_order,False,Ze zegt dat,de danser,animate,sg,common,Jan,animate,sg,proper,ziet,zien,perception,present,spelen,,activity,,"[""ziet"", ""spelen""]",generated,,False,,8,,,,,,,spelen,,,,,,,,,,,,,,,,
2np_t1_017_A,2,1,A,Ze begrijpen dat de ouders Jan horen dansen.,Ze begrijpen dat de ouders Jan dansen horen.,verb_order,False,Ze begrijpen dat,de ouders,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,dansen,,activity,,"[""horen"", ""dansen""]",generated,,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_017_B,2,1,B,Ze begrijpen dat de ouders Jan horen dansen.,Ze begrijpen dat Jan de ouders horen dansen.,agreement_violation,False,Ze begrijpen dat,de ouders,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,dansen,,activity,,"[""de ouders"", ""Jan""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_017_C,2,1,C,Ze begrijpen dat de ouders Jan horen dansen.,Ze begrijpen dat Jan de ouders dansen horen.,agreement_violation,True,Ze begrijpen dat,de ouders,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,dansen,,activity,,"[""de ouders"", ""Jan"", ""horen"", ""dansen""]",generated,,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_018_A,2,1,A,We zien dat de moeder Piet ziet zwemmen.,We zien dat de moeder Piet zwemmen ziet.,verb_order,False,We zien dat,de moeder,animate,sg,common,Piet,animate,sg,proper,ziet,zien,perception,present,zwemmen,,motion,,"[""ziet"", ""zwemmen""]",generated,,False,,8,,,,,,,zwemmen,,,,,,,,,,,,,,,,
2np_t1_019_A,2,1,A,Ze weten dat de studenten Jan horen spelen.,Ze weten dat de studenten Jan spelen horen.,verb_order,False,Ze weten dat,de studenten,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,spelen,,activity,,"[""horen"", ""spelen""]",generated,,True,,8,,,,,,,spelen,,,,,,,,,,,,,,,,
2np_t1_019_B,2,1,B,Ze weten dat de studenten Jan horen spelen.,Ze weten dat Jan de studenten horen spelen.,agreement_violation,False,Ze weten dat,de studenten,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,spelen,,activity,,"[""de studenten"", ""Jan""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,spelen,,,,,,,,,,,,,,,,
2np_t1_019_C,2,1,C,Ze weten dat de studenten Jan horen spelen.,Ze weten dat Jan de studenten spelen horen.,agreement_violation,True,Ze weten dat,de studenten,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,spelen,,activity,,"[""de studenten"", ""Jan"", ""horen"", ""spelen""]",generated,,True,,8,,,,,,,spelen,,,,,,,,,,,,,,,,
2np_t1_020_A,2,1,A,Hij gelooft dat de directeur Marie laat rennen.,Hij gelooft dat de directeur Marie rennen laat.,verb_order,False,Hij gelooft dat,de directeur,animate,sg,common,Marie,animate,sg,proper,laat,laten,causative,present,rennen,,motion,,"[""laat"", ""rennen""]",generated,,False,,8,,,,,,,rennen,,,,,,,,,,,,,,,,
2np_t1_021_A,2,1,A,Hij verwacht dat de studenten Piet horen rennen.,Hij verwacht dat de studenten Piet rennen horen.,verb_order,False,Hij verwacht dat,de studenten,animate,pl,common,Piet,animate,sg,proper,horen,horen,perception,present,rennen,,motion,,"[""horen"", ""rennen""]",generated,,True,,8,,,,,,,rennen,,,,,,,,,,,,,,,,
2np_t1_021_B,2,1,B,Hij verwacht dat de studenten Piet horen rennen.,Hij verwacht dat Piet de studenten horen rennen.,agreement_violation,False,Hij verwacht dat,de studenten,animate,pl,common,Piet,animate,sg,proper,horen,horen,perception,present,rennen,,motion,,"[""de studenten"", ""Piet""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,rennen,,,,,,,,,,,,,,,,
2np_t1_021_C,2,1,C,Hij verwacht dat de studenten Piet horen rennen.,Hij verwacht dat Piet de studenten rennen horen.,agreement_violation,True,Hij verwacht dat,de studenten,animate,pl,common,Piet,animate,sg,proper,horen,horen,perception,present,rennen,,motion,,"[""de studenten"", ""Piet"", ""horen"", ""rennen""]",generated,,True,,8,,,,,,,rennen,,,,,,,,,,,,,,,,
2np_t1_022_A,2,1,A,Ze begrijpen dat de kinderen Piet laten rennen.,Ze begrijpen dat de kinderen Piet rennen laten.,verb_order,False,Ze begrijpen dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,laten,laten,causative,present,rennen,,motion,,"[""laten"", ""rennen""]",generated,,True,,8,,,,,,,rennen,,,,,,,,,,,,,,,,
2np_t1_022_B,2,1,B,Ze begrijpen dat de kinderen Piet laten rennen.,Ze begrijpen dat Piet de kinderen laten rennen.,agreement_violation,False,Ze begrijpen dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,laten,laten,causative,present,rennen,,motion,,"[""de kinderen"", ""Piet""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,rennen,,,,,,,,,,,,,,,,
2np_t1_022_C,2,1,C,Ze begrijpen dat de kinderen Piet laten rennen.,Ze begrijpen dat Piet de kinderen rennen laten.,agreement_violation,True,Ze begrijpen dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,laten,laten,causative,present,rennen,,motion,,"[""de kinderen"", ""Piet"", ""laten"", ""rennen""]",generated,,True,,8,,,,,,,rennen,,,,,,,,,,,,,,,,
2np_t1_023_A,2,1,A,Ze zegt dat Marie de vrouw hoort spelen.,Ze zegt dat Marie de vrouw spelen hoort.,verb_order,False,Ze zegt dat,Marie,animate,sg,proper,de vrouw,animate,sg,common,hoort,horen,perception,present,spelen,,activity,,"[""hoort"", ""spelen""]",generated,,False,,8,,,,,,,spelen,,,,,,,,,,,,,,,,
2np_t1_024_A,2,1,A,Ik merk dat de kinderen Piet zien springen.,Ik merk dat de kinderen Piet springen zien.,verb_order,False,Ik merk dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,zien,zien,perception,present,springen,,motion,,"[""zien"", ""springen""]",generated,,True,,8,,,,,,,springen,,,,,,,,,,,,,,,,
2np_t1_024_B,2,1,B,Ik merk dat de kinderen Piet zien springen.,Ik merk dat Piet de kinderen zien springen.,agreement_violation,False,Ik merk dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,zien,zien,perception,present,springen,,motion,,"[""de kinderen"", ""Piet""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,springen,,,,,,,,,,,,,,,,
2np_t1_024_C,2,1,C,Ik merk dat de kinderen Piet zien springen.,Ik merk dat Piet de kinderen springen zien.,agreement_violation,True,Ik merk dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,zien,zien,perception,present,springen,,motion,,"[""de kinderen"", ""Piet"", ""zien"", ""springen""]",generated,,True,,8,,,,,,,springen,,,,,,,,,,,,,,,,
2np_t1_025_A,2,1,A,Ik denk dat Marie de scooter ziet vertrekken.,Ik denk dat Marie de scooter vertrekken ziet.,verb_order,False,Ik denk dat,Marie,animate,sg,proper,de scooter,inanimate,sg,common,ziet,zien,perception,present,vertrekken,,change_of_state,,"[""ziet"", ""vertrekken""]",generated,,True,,8,,,,,,,vertrekken,,,,,,,,,,,,,,,,
2np_t1_025_B,2,1,B,Ik denk dat Marie de scooter ziet vertrekken.,Ik denk dat de scooter Marie ziet vertrekken.,selectional_restriction,False,Ik denk dat,Marie,animate,sg,proper,de scooter,inanimate,sg,common,ziet,zien,perception,present,vertrekken,,change_of_state,,"[""Marie"", ""de scooter""]",generated,,True,,8,,,,,,,vertrekken,,,,,,,,,,,,,,,,
2np_t1_025_C,2,1,C,Ik denk dat Marie de scooter ziet vertrekken.,Ik denk dat de scooter Marie vertrekken ziet.,selectional_restriction,True,Ik denk dat,Marie,animate,sg,proper,de scooter,inanimate,sg,common,ziet,zien,perception,present,vertrekken,,change_of_state,,"[""Marie"", ""de scooter"", ""ziet"", ""vertrekken""]",generated,,True,,8,,,,,,,vertrekken,,,,,,,,,,,,,,,,
2np_t1_026_A,2,1,A,Ze begrijpen dat de kinderen Piet horen lopen.,Ze begrijpen dat de kinderen Piet lopen horen.,verb_order,False,Ze begrijpen dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,horen,horen,perception,present,lopen,,motion,,"[""horen"", ""lopen""]",generated,,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_026_B,2,1,B,Ze begrijpen dat de kinderen Piet horen lopen.,Ze begrijpen dat Piet de kinderen horen lopen.,agreement_violation,False,Ze begrijpen dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,horen,horen,perception,present,lopen,,motion,,"[""de kinderen"", ""Piet""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_026_C,2,1,C,Ze begrijpen dat de kinderen Piet horen lopen.,Ze begrijpen dat Piet de kinderen lopen horen.,agreement_violation,True,Ze begrijpen dat,de kinderen,animate,pl,common,Piet,animate,sg,proper,horen,horen,perception,present,lopen,,motion,,"[""de kinderen"", ""Piet"", ""horen"", ""lopen""]",generated,,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_027_A,2,1,A,Hij weet dat de danser Marie laat zwemmen.,Hij weet dat de danser Marie zwemmen laat.,verb_order,False,Hij weet dat,de danser,animate,sg,common,Marie,animate,sg,proper,laat,laten,causative,present,zwemmen,,motion,,"[""laat"", ""zwemmen""]",generated,,False,,8,,,,,,,zwemmen,,,,,,,,,,,,,,,,
2np_t1_028_A,2,1,A,We zien dat de vader Piet hoort dansen.,We zien dat de vader Piet dansen hoort.,verb_order,False,We zien dat,de vader,animate,sg,common,Piet,animate,sg,proper,hoort,horen,perception,present,dansen,,activity,,"[""hoort"", ""dansen""]",generated,,False,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_029_A,2,1,A,Ze begrijpen dat de studenten Jan zien lopen.,Ze begrijpen dat de studenten Jan lopen zien.,verb_order,False,Ze begrijpen dat,de studenten,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,lopen,,motion,,"[""zien"", ""lopen""]",generated,,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_029_B,2,1,B,Ze begrijpen dat de studenten Jan zien lopen.,Ze begrijpen dat Jan de studenten zien lopen.,agreement_violation,False,Ze begrijpen dat,de studenten,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,lopen,,motion,,"[""de studenten"", ""Jan""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_029_C,2,1,C,Ze begrijpen dat de studenten Jan zien lopen.,Ze begrijpen dat Jan de studenten lopen zien.,agreement_violation,True,Ze begrijpen dat,de studenten,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,lopen,,motion,,"[""de studenten"", ""Jan"", ""zien"", ""lopen""]",generated,,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_030_A,2,1,A,Ik weet dat de kinderen Jan zien zwemmen.,Ik weet dat de kinderen Jan zwemmen zien.,verb_order,False,Ik weet dat,de kinderen,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,zwemmen,,motion,,"[""zien"", ""zwemmen""]",generated,,True,,8,,,,,,,zwemmen,,,,,,,,,,,,,,,,
2np_t1_030_B,2,1,B,Ik weet dat de kinderen Jan zien zwemmen.,Ik weet dat Jan de kinderen zien zwemmen.,agreement_violation,False,Ik weet dat,de kinderen,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,zwemmen,,motion,,"[""de kinderen"", ""Jan""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,zwemmen,,,,,,,,,,,,,,,,
2np_t1_030_C,2,1,C,Ik weet dat de kinderen Jan zien zwemmen.,Ik weet dat Jan de kinderen zwemmen zien.,agreement_violation,True,Ik weet dat,de kinderen,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,zwemmen,,motion,,"[""de kinderen"", ""Jan"", ""zien"", ""zwemmen""]",generated,,True,,8,,,,,,,zwemmen,,,,,,,,,,,,,,,,
2np_t1_031_A,2,1,A,Hij weet dat de vrienden Jan zien zwemmen.,Hij weet dat de vrienden Jan zwemmen zien.,verb_order,False,Hij weet dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,zwemmen,,motion,,"[""zien"", ""zwemmen""]",generated,,True,,8,,,,,,,zwemmen,,,,,,,,,,,,,,,,
2np_t1_031_B,2,1,B,Hij weet dat de vrienden Jan zien zwemmen.,Hij weet dat Jan de vrienden zien zwemmen.,agreement_violation,False,Hij weet dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,zwemmen,,motion,,"[""de vrienden"", ""Jan""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,zwemmen,,,,,,,,,,,,,,,,
2np_t1_031_C,2,1,C,Hij weet dat de vrienden Jan zien zwemmen.,Hij weet dat Jan de vrienden zwemmen zien.,agreement_violation,True,Hij weet dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,zien,zien,perception,present,zwemmen,,motion,,"[""de vrienden"", ""Jan"", ""zien"", ""zwemmen""]",generated,,True,,8,,,,,,,zwemmen,,,,,,,,,,,,,,,,
2np_t1_032_A,2,1,A,Ze zegt dat de studenten Marie horen werken.,Ze zegt dat de studenten Marie werken horen.,verb_order,False,Ze zegt dat,de studenten,animate,pl,common,Marie,animate,sg,proper,horen,horen,perception,present,werken,,activity,,"[""horen"", ""werken""]",generated,,True,,8,,,,,,,werken,,,,,,,,,,,,,,,,
2np_t1_032_B,2,1,B,Ze zegt dat de studenten Marie horen werken.,Ze zegt dat Marie de studenten horen werken.,agreement_violation,False,Ze zegt dat,de studenten,animate,pl,common,Marie,animate,sg,proper,horen,horen,perception,present,werken,,activity,,"[""de studenten"", ""Marie""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,werken,,,,,,,,,,,,,,,,
2np_t1_032_C,2,1,C,Ze zegt dat de studenten Marie horen werken.,Ze zegt dat Marie de studenten werken horen.,agreement_violation,True,Ze zegt dat,de studenten,animate,pl,common,Marie,animate,sg,proper,horen,horen,perception,present,werken,,activity,,"[""de studenten"", ""Marie"", ""horen"", ""werken""]",generated,,True,,8,,,,,,,werken,,,,,,,,,,,,,,,,
2np_t1_033_A,2,1,A,Ze weten dat de leraar Piet ziet rennen.,Ze weten dat de leraar Piet rennen ziet.,verb_order,False,Ze weten dat,de leraar,animate,sg,common,Piet,animate,sg,proper,ziet,zien,perception,present,rennen,,motion,,"[""ziet"", ""rennen""]",generated,,False,,8,,,,,,,rennen,,,,,,,,,,,,,,,,
2np_t1_034_A,2,1,A,Hij weet dat de studenten Jan laten lachen.,Hij weet dat de studenten Jan lachen laten.,verb_order,False,Hij weet dat,de studenten,animate,pl,common,Jan,animate,sg,proper,laten,laten,causative,present,lachen,,expression,,"[""laten"", ""lachen""]",generated,,True,,8,,,,,,,lachen,,,,,,,,,,,,,,,,
