pair_id,c_type,n_pairs,v_type,V1_class,V1_lemma,NP1,NP2,NP2_anim,V2,ungram_source,alignment,grammatical,ungrammatical,crit_tokens,exclude,exclude_reason
3np_t1_014_C,1,3,C,perception,zien,de directeur,Marie,animate,laten,agreement_violation,true,Ik denk dat de directeur Marie de kinderen ziet laten werken.,Ik denk dat de kinderen Marie de directeur werken laten ziet.,"[""de directeur"", ""Marie"", ""de kinderen"", ""ziet"", ""laten"", ""werken""]",,
3np_t1_014_D1,1,3,D1,perception,zien,de directeur,Marie,animate,laten,verb_order_partial,false,Ik denk dat de directeur Marie de kinderen ziet laten werken.,Ik denk dat de directeur Marie de kinderen ziet werken laten.,"[""laten"", ""werken""]",,
3np_t1_014_D2,1,3,D2,perception,zien,de directeur,Marie,animate,laten,verb_order_partial,false,Ik denk dat de directeur Marie de kinderen ziet laten werken.,Ik denk dat de directeur Marie de kinderen laten ziet werken.,"[""ziet"", ""laten""]",,
3np_t1_015_A,1,3,A,perception,zien,de ouders,Marie,animate,laten,verb_order,false,Hij verwacht dat de ouders Marie de auto zien laten stilstaan.,Hij verwacht dat de ouders Marie de auto stilstaan laten zien.,"[""zien"", ""laten"", ""stilstaan""]",,
3np_t1_015_B,1,3,B,perception,zien,de ouders,Marie,animate,laten,selectional_restriction,false,Hij verwacht dat de ouders Marie de auto zien laten stilstaan.,Hij verwacht dat de auto Marie de ouders zien laten stilstaan.,"[""de ouders"", ""Marie"", ""de auto""]",,
3np_t1_015_C,1,3,C,perception,zien,de ouders,Marie,animate,laten,selectional_restriction,true,Hij verwacht dat de ouders Marie de auto zien laten stilstaan.,Hij verwacht dat de auto Marie de ouders stilstaan laten zien.,"[""de ouders"", ""Marie"", ""de auto"", ""zien"", ""laten"", ""stilstaan""]",,
3np_t1_015_D1,1,3,D1,perception,zien,de ouders,Marie,animate,laten,verb_order_partial,false,Hij verwacht dat de ouders Marie de auto zien laten stilstaan.,Hij verwacht dat de ouders Marie de auto zien stilstaan laten.,"[""laten"", ""stilstaan""]",,
3np_t1_015_D2,1,3,D2,perception,zien,de ouders,Marie,animate,laten,verb_order_partial,false,Hij verwacht dat de ouders Marie de auto zien laten stilstaan.,Hij verwacht dat de ouders Marie de auto laten zien stilstaan.,"[""zien"", ""laten""]",,
3np_t1_016_A,1,3,A,perception,horen,de ouders,Jan,animate,laten,verb_order,false,Hij verwacht dat de ouders Jan de trein horen laten vertrekken.,Hij verwacht dat de ouders Jan de trein vertrekken laten horen.,"[""horen"", ""laten"", ""vertrekken""]",,
3np_t1_016_B,1,3,B,perception,horen,de ouders,Jan,animate,laten,selectional_restriction,false,Hij verwacht dat de ouders Jan de trein horen laten vertrekken.,Hij verwacht dat de trein Jan de ouders horen laten vertrekken.,"[""de ouders"", ""Jan"", ""de trein""]",,
3np_t1_016_C,1,3,C,perception,horen,de ouders,Jan,animate,laten,selectional_restriction,true,Hij verwacht dat de ouders Jan de trein horen laten vertrekken.,Hij verwacht dat de trein Jan de ouders vertrekken laten horen.,"[""de ouders"", ""Jan"", ""de trein"", ""horen"", ""laten"", ""vertrekken""]",,
3np_t1_016_D1,1,3,D1,perception,horen,de ouders,Jan,animate,laten,verb_order_partial,false,Hij verwacht dat de ouders Jan de trein horen laten vertrekken.,Hij verwacht dat de ouders Jan de trein horen vertrekken laten.,"[""laten"", ""vertrekken""]",,
3np_t1_016_D2,1,3,D2,perception,horen,de ouders,Jan,animate,laten,verb_order_partial,false,Hij verwacht dat de ouders Jan de trein horen laten vertrekken.,Hij verwacht dat de ouders Jan de trein laten horen vertrekken.,"[""horen"", ""laten""]",,
3np_t1_017_A,1,3,A,causative,laten,de directeur,Jan,animate,zien,verb_order,false,Ik merk dat de directeur Jan de boot laat zien stilstaan.,Ik merk dat de directeur Jan de boot stilstaan zien laat.,"[""laat"", ""zien"", ""stilstaan""]",,
3np_t1_017_B,1,3,B,causative,laten,de directeur,Jan,animate,zien,selectional_restriction,false,Ik merk dat de directeur Jan de boot laat zien stilstaan.,Ik merk dat de boot Jan de directeur laat zien stilstaan.,"[""de directeur"", ""Jan"", ""de boot""]",,
3np_t1_017_C,1,3,C,causative,laten,de directeur,Jan,animate,zien,selectional_restriction,true,Ik merk dat de directeur Jan de boot laat zien stilstaan.,Ik merk dat de boot Jan de directeur stilstaan zien laat.,"[""de directeur"", ""Jan"", ""de boot"", ""laat"", ""zien"", ""stilstaan""]",,
3np_t1_017_D1,1,3,D1,causative,laten,de directeur,Jan,animate,zien,verb_order_partial,false,Ik merk dat de directeur Jan de boot laat zien stilstaan.,Ik merk dat de directeur Jan de boot laat stilstaan zien.,"[""zien"", ""stilstaan""]",,
3np_t1_017_D2,1,3,D2,causative,laten,de directeur,Jan,animate,zien,verb_order_partial,false,Ik merk dat de directeur Jan de boot laat zien stilstaan.,Ik merk dat de directeur Jan de boot zien laat stilstaan.,"[""laat"", ""zien""]",,
3np_t1_018_A,1,3,A,perception,zien,de vrienden,Marie,animate,laten,verb_order,false,Ik denk dat de vrienden Marie de ouders zien laten dansen.,Ik denk dat de vrienden Marie de ouders dansen laten zien.,"[""zien"", ""laten"", ""dansen""]",,
3np_t1_018_D1,1,3,D1,perception,zien,de vrienden,Marie,animate,laten,verb_order_partial,false,Ik denk dat de vrienden Marie de ouders zien laten dansen.,Ik denk dat de vrienden Marie de ouders zien dansen laten.,"[""laten"", ""dansen""]",,
3np_t1_018_D2,1,3,D2,perception,zien,de vrienden,Marie,animate,laten,verb_order_partial,false,Ik denk dat de vrienden Marie de ouders zien laten dansen.,Ik denk dat de vrienden Marie de ouders laten zien dansen.,"[""zien"", ""laten""]",,
3np_t1_019_A,1,3,A,perception,horen,de rechter,Jan,animate,laten,verb_order,false,We zien dat de rechter Jan de boot hoort laten stilstaan.,We zien dat de rechter Jan de boot stilstaan laten hoort.,"[""hoort"", ""laten"", ""stilstaan""]",,
3np_t1_019_B,1,3,B,perception,horen,de rechter,Jan,animate,laten,selectional_restriction,false,We zien dat de rechter Jan de boot hoort laten stilstaan.,We zien dat de boot Jan de rechter hoort laten stilstaan.,"[""de rechter"", ""Jan"", ""de boot""]",,
3np_t1_019_C,1,3,C,perception,horen,de rechter,Jan,animate,laten,selectional_restriction,true,We zien dat de rechter Jan de boot hoort laten stilstaan.,We zien dat de boot Jan de rechter stilstaan laten hoort.,"[""de rechter"", ""Jan"", ""de boot"", ""hoort"", ""laten"", ""stilstaan""]",,
3np_t1_019_D1,1,3,D1,perception,horen,de rechter,Jan,animate,laten,verb_order_partial,false,We zien dat de rechter Jan de boot hoort laten stilstaan.,We zien dat de rechter Jan de boot hoort stilstaan laten.,"[""laten"", ""stilstaan""]",,
3np_t1_019_D2,1,3,D2,perception,horen,de rechter,Jan,animate,laten,verb_order_partial,false,We zien dat de rechter Jan de boot hoort laten stilstaan.,We zien dat de rechter Jan de boot laten hoort stilstaan.,"[""hoort"", ""laten""]",,
3np_t1_020_A,1,3,A,causative,laten,de vrienden,Piet,animate,horen,verb_order,false,Ze zegt dat de vrienden Piet de trein laten horen stilstaan.,Ze zegt dat de vrienden Piet de trein stilstaan horen laten.,"[""laten"", ""horen"", ""stilstaan""]",,
3np_t1_020_B,1,3,B,causative,laten,de vrienden,Piet,animate,horen,selectional_restriction,false,Ze zegt dat de vrienden Piet de trein laten horen stilstaan.,Ze zegt dat de trein Piet de vrienden laten horen stilstaan.,"[""de vrienden"", ""Piet"", ""de trein""]",,
3np_t1_020_C,1,3,C,causative,laten,de vrienden,Piet,animate,horen,selectional_restriction,true,Ze zegt dat de vrienden Piet de trein laten horen stilstaan.,Ze zegt dat de trein Piet de vrienden stilstaan horen laten.,"[""de vrienden"", ""Piet"", ""de trein"", ""laten"", ""horen"", ""stilstaan""]",,
3np_t1_020_D1,1,3,D1,causative,laten,de vrienden,Piet,animate,horen,verb_order_partial,false,Ze zegt dat de vrienden Piet de trein laten horen stilstaan.,Ze zegt dat de vrienden Piet de trein laten stilstaan horen.,"[""horen"", ""stilstaan""]",,
3np_t1_020_D2,1,3,D2,causative,laten,de vrienden,Piet,animate,horen,verb_order_partial,false,Ze zegt dat de vrienden Piet de trein laten horen stilstaan.,Ze zegt dat de vrienden Piet de trein horen laten stilstaan.,"[""laten"", ""horen""]",,
3np_t1_021_A,1,3,A,perception,horen,de rechter,Jan,animate,laten,verb_order,false,Ze begrijpen dat de rechter Jan de man hoort laten rennen.,Ze begrijpen dat de rechter Jan de man rennen laten hoort.,"[""hoort"", ""laten"", ""rennen""]",,
3np_t1_021_D1,1,3,D1,perception,horen,de rechter,Jan,animate,laten,verb_order_partial,false,Ze begrijpen dat de rechter Jan de man hoort laten rennen.,Ze begrijpen dat de rechter Jan de man hoort rennen laten.,"[""laten"", ""rennen""]",,
3np_t1_021_D2,1,3,D2,perception,horen,de rechter,Jan,animate,laten,verb_order_partial,false,Ze begrijpen dat de rechter Jan de man hoort laten rennen.,Ze begrijpen dat de rechter Jan de man laten hoort rennen.,"[""hoort"", ""laten""]",,
3np_t1_022_A,1,3,A,perception,zien,Jan,de vrouw,animate,laten,verb_order,false,Ze weten dat Jan de vrouw de kinderen ziet laten rennen.,Ze weten dat Jan de vrouw de kinderen rennen laten ziet.,"[""ziet"", ""laten"", ""rennen""]",,
3np_t1_022_B,1,3,B,perception,zien,Jan,de vrouw,animate,laten,agreement_violation,false,Ze weten dat Jan de vrouw de kinderen ziet laten rennen.,Ze weten dat de kinderen de vrouw Jan ziet laten rennen.,"[""Jan"", ""de vrouw"", ""de kinderen""]",,
3np_t1_022_C,1,3,C,perception,zien,Jan,de vrouw,animate,laten,agreement_violation,true,Ze weten dat Jan de vrouw de kinderen ziet laten rennen.,Ze weten dat de kinderen de vrouw Jan rennen laten ziet.,"[""Jan"", ""de vrouw"", ""de kinderen"", ""ziet"", ""laten"", ""rennen""]",,
3np_t1_022_D1,1,3,D1,perception,zien,Jan,de vrouw,animate,laten,verb_order_partial,false,Ze weten dat Jan de vrouw de kinderen ziet laten rennen.,Ze weten dat Jan de vrouw de kinderen ziet rennen laten.,"[""laten"", ""rennen""]",,
3np_t1_022_D2,1,3,D2,perception,zien,Jan,de vrouw,animate,laten,verb_order_partial,false,Ze weten dat Jan de vrouw de kinderen ziet laten rennen.,Ze weten dat Jan de vrouw de kinderen laten ziet rennen.,"[""ziet"", ""laten""]",,
3np_t1_023_A,1,3,A,perception,horen,de danser,Marie,animate,laten,verb_order,false,Hij weet dat de danser Marie de kinderen hoort laten rennen.,Hij weet dat de danser Marie de kinderen rennen laten hoort.,"[""hoort"", ""laten"", ""rennen""]",,
3np_t1_023_B,1,3,B,perception,horen,de danser,Marie,animate,laten,agreement_violation,false,Hij weet dat de danser Marie de kinderen hoort laten rennen.,Hij weet dat de kinderen Marie de danser hoort laten rennen.,"[""de danser"", ""Marie"", ""de kinderen""]",,
3np_t1_023_C,1,3,C,perception,horen,de danser,Marie,animate,laten,agreement_violation,true,Hij weet dat de danser Marie de kinderen hoort laten rennen.,Hij weet dat de kinderen Marie de danser rennen laten hoort.,"[""de danser"", ""Marie"", ""de kinderen"", ""hoort"", ""laten"", ""rennen""]",,
3np_t1_023_D1,1,3,D1,perception,horen,de danser,Marie,animate,laten,verb_order_partial,false,Hij weet dat de danser Marie de kinderen hoort laten rennen.,Hij weet dat de danser Marie de kinderen hoort rennen laten.,"[""laten"", ""rennen""]",,
3np_t1_023_D2,1,3,D2,perception,horen,de danser,Marie,animate,laten,verb_order_partial,false,Hij weet dat de danser Marie de kinderen hoort laten rennen.,Hij weet dat de danser Marie de kinderen laten hoort rennen.,"[""hoort"", ""laten""]",,
3np_t1_024_A,1,3,A,perception,zien,Marie,de man,animate,laten,verb_order,false,Ik weet dat Marie de man de boot ziet laten bewegen.,Ik weet dat Marie de man de boot bewegen laten ziet.,"[""ziet"", ""laten"", ""bewegen""]",,
3np_t1_024_B,1,3,B,perception,zien,Marie,de man,animate,laten,selectional_restriction,false,Ik weet dat Marie de man de boot ziet laten bewegen.,Ik weet dat de boot de man Marie ziet laten bewegen.,"[""Marie"", ""de man"", ""de boot""]",,
